year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2017,American League,East,Boston Red Sox,93,69,0.574,0,0,
2017,American League,East,New York Yankees,91,71,0.562,0,0,
2017,American League,East,Tampa Bay Rays,80,82,0.494,0,0,
2017,American League,East,Toronto Blue Jays,76,86,0.469,0,0,
2017,American League,East,Baltimore Orioles,75,87,0.463,0,0,
2017,American League,Central,Cleveland Indians,102,60,0.63,0,0,
2017,American League,Central,Minnesota Twins,85,77,0.525,0,0,
2017,American League,Central,Kansas City Royals,80,82,0.494,0,0,
2017,American League,Central,Chicago White Sox,67,95,0.414,0,0,
2017,American League,Central,Detroit Tigers,64,98,0.395,0,0,
2017,American League,West,Houston Astros,101,61,0.623,0,0,
2017,American League,West,Los Angeles Angels,80,82,0.494,0,0,
2017,American League,West,Seattle Mariners,78,84,0.481,0,0,
2017,American League,West,Texas Rangers,78,84,0.481,0,0,
2017,American League,West,Oakland Athletics,75,87,0.463,0,0,
