year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2018,National League,East,Atlanta Braves,90,72,0.556,0,0,
2018,National League,East,Washington Nationals,82,80,0.506,0,0,
2018,National League,East,Philadelphia Phillies,80,82,0.494,0,0,
2018,National League,East,New York Mets,77,85,0.475,0,0,
2018,National League,East,Miami Marlins,63,98,0.391,0,0,
2018,National League,Central,Milwaukee Brewers,96,67,0.589,0,0,
2018,National League,Central,Chicago Cubs,95,68,0.583,0,0,
2018,National League,Central,St. Louis Cardinals,88,74,0.543,0,0,
2018,National League,Central,Pittsburgh Pirates,82,79,0.509,0,0,
2018,National League,Central,Cincinnati Reds,67,95,0.414,0,0,
2018,National League,West,Los Angeles Dodgers,92,71,0.564,0,0,
2018,National League,West,Colorado Rockies,91,72,0.558,0,0,
2018,National League,West,Arizona Diamondbacks,82,80,0.506,0,0,
2018,National League,West,San Francisco Giants,73,89,0.451,0,0,
2018,National League,West,San Diego Padres,66,96,0.407,0,0,
