year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2018,American League,League,Boston Red Sox,108,54,0.667,0,0,
2018,American League,League,New York Yankees,100,62,0.617,0,0,
2018,American League,League,Tampa Bay Rays,90,72,0.556,0,0,
2018,American League,League,Toronto Blue Jays,73,89,0.451,0,0,
2018,American League,League,Baltimore Orioles,47,115,0.29,0,0,
2018,American League,League,Cleveland Indians,91,71,0.562,0,0,
2018,American League,League,Minnesota Twins,78,84,0.481,0,0,
2018,American League,League,Detroit Tigers,64,98,0.395,0,0,
2018,American League,League,Chicago White Sox,62,100,0.383,0,0,
2018,American League,League,Kansas City Royals,58,104,0.358,0,0,
2018,American League,League,Houston Astros,103,59,0.636,0,0,
2018,American League,League,Oakland Athletics,97,65,0.599,0,0,
2018,American League,League,Seattle Mariners,89,73,0.549,0,0,
2018,American League,League,Los Angeles Angels,80,82,0.494,0,0,
2018,American League,League,Texas Rangers,67,95,0.414,0,0,
