year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2017,National League,League,Washington Nationals,97,65,0.599,0,0,
2017,National League,League,Miami Marlins,77,85,0.475,0,0,
2017,National League,League,Atlanta Braves,72,90,0.444,0,0,
2017,National League,League,New York Mets,70,92,0.432,0,0,
2017,National League,League,Philadelphia Phillies,66,96,0.407,0,0,
2017,National League,League,Chicago Cubs,92,70,0.568,0,0,
2017,National League,League,Milwaukee Brewers,86,76,0.531,0,0,
2017,National League,League,St. Louis Cardinals,83,79,0.512,0,0,
2017,National League,League,Pittsburgh Pirates,75,87,0.463,0,0,
2017,National League,League,Cincinnati Reds,68,94,0.42,0,0,
2017,National League,League,Los Angeles Dodgers,104,58,0.642,0,0,
2017,National League,League,Arizona Diamondbacks,93,69,0.574,0,0,
2017,National League,League,Colorado Rockies,87,75,0.537,0,0,
2017,National League,League,San Diego Padres,71,91,0.438,0,0,
2017,National League,League,San Francisco Giants,64,98,0.395,0,0,
